Subject,Start Date,Start Time,End Date,End Time,All Day,Description,Location,UID
novo leto,01/01/2020,,02/01/2020,,TRUE,Dela prost dan,,Private
"Prešernov dan, slovenski kulturni praznik",08/02/2020,,08/02/2020,,TRUE,Dela prost dan,,Private
velika noč,12/04/2020,,12/04/2020,,TRUE,Dela prost dan,,Private
velikonočni ponedeljek,13/04/2020,,13/04/2020,,TRUE,Dela prost dan,,Private
dan boja proti okupatorju,27/04/2020,,27/04/2020,,TRUE,Dela prost dan,,Private
praznik dela,01/05/2020,,02/05/2020,,TRUE,Dela prost dan,,Private
binkoštna nedelja,31/05/2020,,31/05/2020,,TRUE,Dela prost dan,,Private
dan Primoža Trubarja,08/06/2020,,08/06/2020,,TRUE,ne,,Private
dan državnosti,25/06/2020,,25/06/2020,,TRUE,Dela prost dan,,Private
Marijino vnebovzetje,15/08/2020,,15/08/2020,,TRUE,Dela prost dan,,Private
združitev prekmurskih Slovencev z matičnim narodom,17/08/2020,,17/08/2020,,TRUE,ne,,Private
vrnitev Primorske k matični domovini,15/09/2020,,15/09/2020,,TRUE,ne,,Private
dan suverenosti,25/10/2020,,25/10/2020,,TRUE,ne,,Private
dan reformacije,31/10/2020,,31/10/2020,,TRUE,Dela prost dan,,Private
dan spomina na mrtve,01/11/2020,,01/11/2020,,TRUE,Dela prost dan,,Private
dan Rudolfa Maistra,23/11/2020,,23/11/2020,,TRUE,ne,,Private
božič,25/12/2020,,25/12/2020,,TRUE,Dela prost dan,,Private
dan samostojnosti in enotnosti,26/12/2020,,26/12/2020,,TRUE,Dela prost dan,,Private
novo leto,01/01/2021,,02/01/2021,,TRUE,Dela prost dan,,Private
"Prešernov dan, slovenski kulturni praznik",08/02/2021,,08/02/2021,,TRUE,Dela prost dan,,Private
velika noč,04/04/2021,,04/04/2021,,TRUE,Dela prost dan,,Private
velikonočni ponedeljek,05/04/2021,,05/04/2021,,TRUE,Dela prost dan,,Private
dan boja proti okupatorju,27/04/2021,,27/04/2021,,TRUE,Dela prost dan,,Private
praznik dela,01/05/2021,,02/05/2021,,TRUE,Dela prost dan,,Private
binkoštna nedelja,23/05/2021,,23/05/2021,,TRUE,Dela prost dan,,Private
dan Primoža Trubarja,08/06/2021,,08/06/2021,,TRUE,ne,,Private
dan državnosti,25/06/2021,,25/06/2021,,TRUE,Dela prost dan,,Private
Marijino vnebovzetje,15/08/2021,,15/08/2021,,TRUE,Dela prost dan,,Private
združitev prekmurskih Slovencev z matičnim narodom,17/08/2021,,17/08/2021,,TRUE,ne,,Private
vrnitev Primorske k matični domovini,15/09/2021,,15/09/2021,,TRUE,ne,,Private
dan suverenosti,25/10/2021,,25/10/2021,,TRUE,ne,,Private
dan reformacije,31/10/2021,,31/10/2021,,TRUE,Dela prost dan,,Private
dan spomina na mrtve,01/11/2021,,01/11/2021,,TRUE,Dela prost dan,,Private
dan Rudolfa Maistra,23/11/2021,,23/11/2021,,TRUE,ne,,Private
božič,25/12/2021,,25/12/2021,,TRUE,Dela prost dan,,Private
dan samostojnosti in enotnosti,26/12/2021,,26/12/2021,,TRUE,Dela prost dan,,Private
novo leto,01/01/2022,,02/01/2022,,TRUE,Dela prost dan,,Private
"Prešernov dan, slovenski kulturni praznik",08/02/2022,,08/02/2022,,TRUE,Dela prost dan,,Private
velika noč,17/04/2022,,17/04/2022,,TRUE,Dela prost dan,,Private
velikonočni ponedeljek,18/04/2022,,18/04/2022,,TRUE,Dela prost dan,,Private
dan boja proti okupatorju,27/04/2022,,27/04/2022,,TRUE,Dela prost dan,,Private
praznik dela,01/05/2022,,02/05/2022,,TRUE,Dela prost dan,,Private
binkoštna nedelja,05/06/2022,,05/06/2022,,TRUE,Dela prost dan,,Private
dan Primoža Trubarja,08/06/2022,,08/06/2022,,TRUE,ne,,Private
dan državnosti,25/06/2022,,25/06/2022,,TRUE,Dela prost dan,,Private
Marijino vnebovzetje,15/08/2022,,15/08/2022,,TRUE,Dela prost dan,,Private
združitev prekmurskih Slovencev z matičnim narodom,17/08/2022,,17/08/2022,,TRUE,ne,,Private
vrnitev Primorske k matični domovini,15/09/2022,,15/09/2022,,TRUE,ne,,Private
dan suverenosti,25/10/2022,,25/10/2022,,TRUE,ne,,Private
dan reformacije,31/10/2022,,31/10/2022,,TRUE,Dela prost dan,,Private
dan spomina na mrtve,01/11/2022,,01/11/2022,,TRUE,Dela prost dan,,Private
dan Rudolfa Maistra,23/11/2022,,23/11/2022,,TRUE,ne,,Private
božič,25/12/2022,,25/12/2022,,TRUE,Dela prost dan,,Private
dan samostojnosti in enotnosti,26/12/2022,,26/12/2022,,TRUE,Dela prost dan,,Private
novo leto,01/01/2023,,02/01/2023,,TRUE,Dela prost dan,,Private
"Prešernov dan, slovenski kulturni praznik",08/02/2023,,08/02/2023,,TRUE,Dela prost dan,,Private
velika noč,09/04/2023,,09/04/2023,,TRUE,Dela prost dan,,Private
velikonočni ponedeljek,10/04/2023,,10/04/2023,,TRUE,Dela prost dan,,Private
dan boja proti okupatorju,27/04/2023,,27/04/2023,,TRUE,Dela prost dan,,Private
praznik dela,01/05/2023,,02/05/2023,,TRUE,Dela prost dan,,Private
binkoštna nedelja,28/05/2023,,28/05/2023,,TRUE,Dela prost dan,,Private
dan Primoža Trubarja,08/06/2023,,08/06/2023,,TRUE,ne,,Private
dan državnosti,25/06/2023,,25/06/2023,,TRUE,Dela prost dan,,Private
Marijino vnebovzetje,15/08/2023,,15/08/2023,,TRUE,Dela prost dan,,Private
združitev prekmurskih Slovencev z matičnim narodom,17/08/2023,,17/08/2023,,TRUE,ne,,Private
vrnitev Primorske k matični domovini,15/09/2023,,15/09/2023,,TRUE,ne,,Private
dan suverenosti,25/10/2023,,25/10/2023,,TRUE,ne,,Private
dan reformacije,31/10/2023,,31/10/2023,,TRUE,Dela prost dan,,Private
dan spomina na mrtve,01/11/2023,,01/11/2023,,TRUE,Dela prost dan,,Private
dan Rudolfa Maistra,23/11/2023,,23/11/2023,,TRUE,ne,,Private
božič,25/12/2023,,25/12/2023,,TRUE,Dela prost dan,,Private
dan samostojnosti in enotnosti,26/12/2023,,26/12/2023,,TRUE,Dela prost dan,,Private
novo leto,01/01/2024,,02/01/2024,,TRUE,Dela prost dan,,Private
"Prešernov dan, slovenski kulturni praznik",08/02/2024,,08/02/2024,,TRUE,Dela prost dan,,Private
velika noč,31/03/2024,,31/03/2024,,TRUE,Dela prost dan,,Private
velikonočni ponedeljek,01/04/2024,,01/04/2024,,TRUE,Dela prost dan,,Private
dan boja proti okupatorju,27/04/2024,,27/04/2024,,TRUE,Dela prost dan,,Private
praznik dela,01/05/2024,,02/05/2024,,TRUE,Dela prost dan,,Private
binkoštna nedelja,19/05/2024,,19/05/2024,,TRUE,Dela prost dan,,Private
dan Primoža Trubarja,08/06/2024,,08/06/2024,,TRUE,ne,,Private
dan državnosti,25/06/2024,,25/06/2024,,TRUE,Dela prost dan,,Private
Marijino vnebovzetje,15/08/2024,,15/08/2024,,TRUE,Dela prost dan,,Private
združitev prekmurskih Slovencev z matičnim narodom,17/08/2024,,17/08/2024,,TRUE,ne,,Private
vrnitev Primorske k matični domovini,15/09/2024,,15/09/2024,,TRUE,ne,,Private
dan suverenosti,25/10/2024,,25/10/2024,,TRUE,ne,,Private
dan reformacije,31/10/2024,,31/10/2024,,TRUE,Dela prost dan,,Private
dan spomina na mrtve,01/11/2024,,01/11/2024,,TRUE,Dela prost dan,,Private
dan Rudolfa Maistra,23/11/2024,,23/11/2024,,TRUE,ne,,Private
božič,25/12/2024,,25/12/2024,,TRUE,Dela prost dan,,Private
dan samostojnosti in enotnosti,26/12/2024,,26/12/2024,,TRUE,Dela prost dan,,Private
novo leto,01/01/2025,,02/01/2025,,TRUE,Dela prost dan,,Private
"Prešernov dan, slovenski kulturni praznik",08/02/2025,,08/02/2025,,TRUE,Dela prost dan,,Private
velika noč,20/04/2025,,20/04/2025,,TRUE,Dela prost dan,,Private
velikonočni ponedeljek,21/04/2025,,21/04/2025,,TRUE,Dela prost dan,,Private
dan boja proti okupatorju,27/04/2025,,27/04/2025,,TRUE,Dela prost dan,,Private
praznik dela,01/05/2025,,02/05/2025,,TRUE,Dela prost dan,,Private
binkoštna nedelja,08/06/2025,,08/06/2025,,TRUE,Dela prost dan,,Private
