_id,DATUM,IME_PRAZNIKA,DAN_V_TEDNU,DELA_PROST_DAN,DAN,MESEC,LETO
1,2000-01-01T00:00:00,novo leto,sobota,da,1,1,2000
2,2000-02-01T00:00:00,novo leto,nedelja,da,2,1,2000
3,2000-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",torek,da,8,2,2000
4,2000-04-23T00:00:00,velika noč,nedelja,da,23,4,2000
5,2000-04-24T00:00:00,velikonočni ponedeljek,ponedeljek,da,24,4,2000
6,2000-04-27T00:00:00,dan boja proti okupatorju ,četrtek,da,27,4,2000
7,2000-01-05T00:00:00,praznik dela,ponedeljek,da,1,5,2000
8,2000-02-05T00:00:00,praznik dela,torek,da,2,5,2000
9,2000-11-06T00:00:00,binkoštna nedelja,nedelja,da,11,6,2000
10,2000-06-25T00:00:00,dan državnosti,nedelja,da,25,6,2000
11,2000-08-15T00:00:00,Marijino vnebovzetje,torek,da,15,8,2000
12,2000-10-31T00:00:00,dan reformacije,torek,da,31,10,2000
13,2000-01-11T00:00:00,dan spomina na mrtve,sreda,da,1,11,2000
14,2000-12-25T00:00:00,božič,ponedeljek,da,25,12,2000
15,2000-12-26T00:00:00,dan samostojnosti,torek,da,26,12,2000
16,2001-01-01T00:00:00,novo leto,ponedeljek,da,1,1,2001
17,2001-02-01T00:00:00,novo leto,torek,da,2,1,2001
18,2001-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",četrtek,da,8,2,2001
19,2001-04-15T00:00:00,velika noč,nedelja,da,15,4,2001
20,2001-04-16T00:00:00,velikonočni ponedeljek,ponedeljek,da,16,4,2001
21,2001-04-27T00:00:00,dan boja proti okupatorju ,petek,da,27,4,2001
22,2001-01-05T00:00:00,praznik dela,torek,da,1,5,2001
23,2001-02-05T00:00:00,praznik dela,sreda,da,2,5,2001
24,2001-03-06T00:00:00,binkoštna nedelja,nedelja,da,3,6,2001
25,2001-06-25T00:00:00,dan državnosti,ponedeljek,da,25,6,2001
26,2001-08-15T00:00:00,Marijino vnebovzetje,sreda,da,15,8,2001
27,2001-10-31T00:00:00,dan reformacije,sreda,da,31,10,2001
28,2001-01-11T00:00:00,dan spomina na mrtve,četrtek,da,1,11,2001
29,2001-12-25T00:00:00,božič,torek,da,25,12,2001
30,2001-12-26T00:00:00,dan samostojnosti,sreda,da,26,12,2001
31,2002-01-01T00:00:00,novo leto,torek,da,1,1,2002
32,2002-02-01T00:00:00,novo leto,sreda,da,2,1,2002
33,2002-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",petek,da,8,2,2002
34,2002-03-31T00:00:00,velika noč,nedelja,da,31,3,2002
35,2002-01-04T00:00:00,velikonočni ponedeljek,ponedeljek,da,1,4,2002
36,2002-04-27T00:00:00,dan boja proti okupatorju ,sobota,da,27,4,2002
37,2002-01-05T00:00:00,praznik dela,sreda,da,1,5,2002
38,2002-02-05T00:00:00,praznik dela,četrtek,da,2,5,2002
39,2002-05-19T00:00:00,binkoštna nedelja,nedelja,da,19,5,2002
40,2002-06-25T00:00:00,dan državnosti,torek,da,25,6,2002
41,2002-08-15T00:00:00,Marijino vnebovzetje,četrtek,da,15,8,2002
42,2002-10-31T00:00:00,dan reformacije,četrtek,da,31,10,2002
43,2002-01-11T00:00:00,dan spomina na mrtve,petek,da,1,11,2002
44,2002-12-25T00:00:00,božič,sreda,da,25,12,2002
45,2002-12-26T00:00:00,dan samostojnosti,četrtek,da,26,12,2002
46,2003-01-01T00:00:00,novo leto,sreda,da,1,1,2003
47,2003-02-01T00:00:00,novo leto,četrtek,da,2,1,2003
48,2003-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",sobota,da,8,2,2003
49,2003-04-20T00:00:00,velika noč,nedelja,da,20,4,2003
50,2003-04-21T00:00:00,velikonočni ponedeljek,ponedeljek,da,21,4,2003
51,2003-04-27T00:00:00,dan boja proti okupatorju ,nedelja,da,27,4,2003
52,2003-01-05T00:00:00,praznik dela,četrtek,da,1,5,2003
53,2003-02-05T00:00:00,praznik dela,petek,da,2,5,2003
54,2003-08-06T00:00:00,binkoštna nedelja,nedelja,da,8,6,2003
55,2003-06-25T00:00:00,dan državnosti,sreda,da,25,6,2003
56,2003-08-15T00:00:00,Marijino vnebovzetje,petek,da,15,8,2003
57,2003-10-31T00:00:00,dan reformacije,petek,da,31,10,2003
58,2003-01-11T00:00:00,dan spomina na mrtve,sobota,da,1,11,2003
59,2003-12-25T00:00:00,božič,četrtek,da,25,12,2003
60,2003-12-26T00:00:00,dan samostojnosti,petek,da,26,12,2003
61,2004-01-01T00:00:00,novo leto,četrtek,da,1,1,2004
62,2004-02-01T00:00:00,novo leto,petek,da,2,1,2004
63,2004-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",nedelja,da,8,2,2004
64,2004-11-04T00:00:00,velika noč,nedelja,da,11,4,2004
65,2004-12-04T00:00:00,velikonočni ponedeljek,ponedeljek,da,12,4,2004
66,2004-04-27T00:00:00,dan boja proti okupatorju ,torek,da,27,4,2004
67,2004-01-05T00:00:00,praznik dela,sobota,da,1,5,2004
68,2004-02-05T00:00:00,praznik dela,nedelja,da,2,5,2004
69,2004-05-30T00:00:00,binkoštna nedelja,nedelja,da,30,5,2004
70,2004-06-25T00:00:00,dan državnosti,petek,da,25,6,2004
71,2004-08-15T00:00:00,Marijino vnebovzetje,nedelja,da,15,8,2004
72,2004-10-31T00:00:00,dan reformacije,nedelja,da,31,10,2004
73,2004-01-11T00:00:00,dan spomina na mrtve,ponedeljek,da,1,11,2004
74,2004-12-25T00:00:00,božič,sobota,da,25,12,2004
75,2004-12-26T00:00:00,dan samostojnosti,nedelja,da,26,12,2004
76,2005-01-01T00:00:00,novo leto,sobota,da,1,1,2005
77,2005-02-01T00:00:00,novo leto,nedelja,da,2,1,2005
78,2005-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",torek,da,8,2,2005
79,2005-03-27T00:00:00,velika noč,nedelja,da,27,3,2005
80,2005-03-28T00:00:00,velikonočni ponedeljek,ponedeljek,da,28,3,2005
81,2005-04-27T00:00:00,dan boja proti okupatorju ,sreda,da,27,4,2005
82,2005-01-05T00:00:00,praznik dela,nedelja,da,1,5,2005
83,2005-02-05T00:00:00,praznik dela,ponedeljek,da,2,5,2005
84,2005-05-15T00:00:00,binkoštna nedelja,nedelja,da,15,5,2005
85,2005-06-25T00:00:00,dan državnosti,sobota,da,25,6,2005
86,2005-08-15T00:00:00,Marijino vnebovzetje,ponedeljek,da,15,8,2005
87,2005-10-31T00:00:00,dan reformacije,ponedeljek,da,31,10,2005
88,2005-01-11T00:00:00,dan spomina na mrtve,torek,da,1,11,2005
89,2005-11-23T00:00:00,dan Rudolfa Maistra,sreda,ne,23,11,2005
90,2005-12-25T00:00:00,božič,nedelja,da,25,12,2005
91,2005-12-26T00:00:00,dan samostojnosti in enotnosti,ponedeljek,da,26,12,2005
92,2006-01-01T00:00:00,novo leto,nedelja,da,1,1,2006
93,2006-02-01T00:00:00,novo leto,ponedeljek,da,2,1,2006
94,2006-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",sreda,da,8,2,2006
95,2006-04-16T00:00:00,velika noč,nedelja,da,16,4,2006
96,2006-04-17T00:00:00,velikonočni ponedeljek,ponedeljek,da,17,4,2006
97,2006-04-27T00:00:00,dan boja proti okupatorju ,četrtek,da,27,4,2006
98,2006-01-05T00:00:00,praznik dela,ponedeljek,da,1,5,2006
99,2006-02-05T00:00:00,praznik dela,torek,da,2,5,2006
100,2006-04-06T00:00:00,binkoštna nedelja,nedelja,da,4,6,2006
101,2006-06-25T00:00:00,dan državnosti,nedelja,da,25,6,2006
102,2006-08-15T00:00:00,Marijino vnebovzetje,torek,da,15,8,2006
103,2006-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,četrtek,ne ,17,8,2006
104,2006-09-15T00:00:00,vrnitev Primorske k matični domovini,petek,ne,15,9,2006
105,2006-10-31T00:00:00,dan reformacije,torek,da,31,10,2006
106,2006-01-11T00:00:00,dan spomina na mrtve,sreda,da,1,11,2006
107,2006-11-23T00:00:00,dan Rudolfa Maistra,četrtek,ne,23,11,2006
108,2006-12-25T00:00:00,božič,ponedeljek,da,25,12,2006
109,2006-12-26T00:00:00,dan samostojnosti in enotnosti,torek,da,26,12,2006
110,2007-01-01T00:00:00,novo leto,ponedeljek,da,1,1,2007
111,2007-02-01T00:00:00,novo leto,torek,da,2,1,2007
112,2007-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",četrtek,da,8,2,2007
113,2007-08-04T00:00:00,velika noč,nedelja,da,8,4,2007
114,2007-09-04T00:00:00,velikonočni ponedeljek,ponedeljek,da,9,4,2007
115,2007-04-27T00:00:00,dan boja proti okupatorju ,petek,da,27,4,2007
116,2007-01-05T00:00:00,praznik dela,torek,da,1,5,2007
117,2007-02-05T00:00:00,praznik dela,sreda,da,2,5,2007
118,2007-05-27T00:00:00,binkoštna nedelja,nedelja,da,27,5,2007
119,2007-06-25T00:00:00,dan državnosti,ponedeljek,da,25,6,2007
120,2007-08-15T00:00:00,Marijino vnebovzetje,sreda,da,15,8,2007
121,2007-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,petek,ne ,17,8,2007
122,2007-09-15T00:00:00,vrnitev Primorske k matični domovini,sobota,ne,15,9,2007
123,2007-10-31T00:00:00,dan reformacije,sreda,da,31,10,2007
